id,idiom,idiom_extracted,definition_jp,example,example_jp,fill_in_the_blanks,tips,created_at
872,back up A,back up,Aを支持［支援］する,I will gladly back up your suggestion.,あなたの提案を喜んで支持します。,I will gladly _____ your suggestion.,誰かの背中（back）を後ろから押すイメージ (=support A),2025-12-24 02:26:37.705585+00
873,cut down A,cut down on,A(数・量）を減らす,You should cut down on alcohol.,アルコールを減らすべきだ。,You should _____ alcohol.,切り捨てとか言うよね。そういうこと (=reduce A),2025-12-24 02:26:37.705585+00
874,look up A,look up,Aを(本・辞書・コンピューターなどで)調べる,She looked up the recipe online.,彼女はレシピをオンラインで調べた。,She _____ the recipe online.,look up a dictionary.とかじゃだめらしい。「〜で」がないとだめかも,2025-12-24 02:26:37.705585+00
875,look over A,look over,Aにざっと目を通す,Let's look over our meeting document.,会議の資料を見直そう。,Let's _____ our meeting document.,overで遠くから見てる感じになるかも (=examine A quickly),2025-12-24 02:26:37.705585+00
876,think over A,think over,Aを熟考する,Fuji Sota thought over his next move.,藤井聡太は次の一手を考えた。,Fuji Sota _____ his next move.,棋士藤井聡太の将棋トレーニング (=consider A carefully),2025-12-24 02:26:37.705585+00
877,fill in A,fill in,A（氏名・職業など）を書き込む/A（書類・用紙など）に必要事項を記入する,"Please fill in this form: your name, gender, and address.",この用紙に記入してください。名前、性別、住所です。,"Please _____ this form: your name, gender, and address.",イギリス人御用達 (=fill out A),2025-12-24 02:26:37.705585+00
878,fill out A,fill out,A（書類・用紙など）に必要事項を記入する,Did you fill out the application?,申込書に記入しましたか。,Did you _____ the application?,アメリカ人御用達(=fill in A / complete A),2025-12-24 02:26:37.705585+00
879,hand in A,hand in,Aを提出する,I have to hand in my thesis next Tuesday and I'm really stressed.,来週の火曜日に論文を提出しなければならず、とてもストレスを感じている。,I have to _____ my thesis next Tuesday and I'm really stressed.,submit Aと同じ意味だけどこっちの方が会話で使いそう,2025-12-24 02:26:37.705585+00
880,turn in A,turn in,Aを提出する,She needs to turn in her work by noon.,彼女は正午までに仕事を提出する必要がある。,She needs to _____ her work by noon.,"submit A,turn in Aと同じ意味だけどこっちの方が会話で使いそう",2025-12-24 02:26:37.705585+00
881,take back A,take back,A（言葉など）を取り消す/撤回する,Take back what you just said!,ポートガス・D・エース「今言ったことを取り消せ！」,_____ what you just said!,「back→元の場所へ」⇒一旦出したものを引っ込める (=withdraw A),2025-12-24 02:26:37.705585+00
882,hold back A,hold back,A（感情など）を抑える,Ace! Hold back your anger!,エース！怒りを抑えろ！,Ace! _____ your anger!,「hold→掴む＋back→後ろへ」⇒前に行かせず引き止める (=control A),2025-12-24 02:26:37.705585+00
883,take over A,take over,A（職務など）を引き継ぐ,Take over the work of the deceased Ace.,死んだエースの仕事を引き継げ。,_____ the work of the deceased Ace.,「over→上に立つ」⇒上から主導権を取る,2025-12-24 02:26:37.705585+00
884,bring up A,bring up,A（子ども）を育てる,Ace was brought up by strangers as a child.,エースは子供の頃、見知らぬ人に育てられた。,Ace was _____ by strangers as a child.,「up＝上」⇒赤ちゃんを下から上へ育てる (=raise A),2025-12-24 02:26:37.705585+00
885,bring about A,bring about,Aを引き起こす,Even a small fire can bring about a house fire.,小さな火でも家事を引き起こす可能性がある。,Even a small fire can _____ a house fire.,努力がグルっと回って（about）⇒引き起こす、もたらす (=cause A),2025-12-24 02:26:37.705585+00
886,show off A,show off,Aを見せびらかす/誇示する,He was showing off his long arms.,彼は長い腕を見せびらかしていた。,He was _____ his long arms.,「off→外に向けて」⇒みんなに見せつける,2025-12-24 02:26:37.705585+00
887,carry out A,carry out,A（計画・命令など）を遂行する/行う,Carry out the assassination of Luffy.,ルフィの暗殺を実行せよ。,_____ the assassination of Luffy.,「out＝外に出す」⇒計画を行動に移す (=accomplish A/ perform A/ complete A),2025-12-24 02:26:37.705585+00
888,lay off A,lay off,A（人）を一時解雇する,Luffy laid off Usopp.,ルフィはウソップを解雇した。,Luffy _____ Usopp.,アリガト❤ﾁｭ😘,2025-12-24 02:26:37.705585+00
889,leave out A,leave out,Aを除外する/（うっかり）抜かす,A herd of reindeer left out Chopper.,トナカイの群れがチョッパーを外した。,A herd of reindeer _____ Chopper.,「out＝外に置く」⇒仲間に入れない (= omit A),2025-12-24 02:26:37.705585+00
890,leave behind A,leave behind,Aを置き忘れる/後に残す,I left behind my key in my house.,家に鍵を置き忘れた。,I _____ my key in my house.,「behind＝後ろ」⇒先に進んで、Aだけ後ろに残す,2025-12-24 02:26:37.705585+00
891,let down A,let down,Aを失望させる,I broke my promise and let down my friend.,約束を破って友達を失望させた。,I broke my promise and _____ my friend.,「down＝下げる」⇒気持ち・期待を下に落とす (=disappoint A),2025-12-24 02:26:37.705585+00
892,rule out A,rule out,Aを排除する,I ruled out the memory of the test.,テストの記憶を排除した。,I _____ the memory of the test.,「out＝外へ」⇒候補から外に出す (= exclude A),2025-12-24 02:26:37.705585+00
893,take in A,take in,Aをだます,I took in Ken.,ケンを受け入れた。,I _____ Ken.,受動態のbe taken in（＝be deceive）の形で用いられる事が多い (=deceive A),2025-12-24 02:26:37.705585+00
894,take in A,take in,Aを理解する,I took in my test results and understood what they meant.,テスト結果を理解した。,I _____ my test results and understood what they meant.,見た聞いた情報を理解する/受け止めるという状況で使う (= understand A/ comprehend A),2025-12-24 02:26:37.705585+00
895,see A off,see off,Aを見送る,I saw my favorite idol off at the airport.,空港でお気に入りのアイドルを見送った。,I _____ my favorite idol off at the airport.,"この表現はsee off Aという語順では用いられない ",2025-12-24 02:26:37.705585+00
896,consist of A,consist of,Aから成る（材料、構成）,My breakfast consists of bread and eggs.,私の朝食はパンと卵で構成されている。,My breakfast _____ bread and eggs.,「of＝材料」⇒中身はなにか？ (=be composed of A/be made up of A),2025-12-24 02:26:37.705585+00
897,consist in A,consist in,（本質が）Aにある,Love consists in one's personality.,愛は人の人格にある。,Love _____ one's personality.,「in＝中に」⇒価値・本質が中にある,2025-12-24 02:26:37.705585+00
898,deal in A,deal in,A（商品）を扱う,The shop deals in pet cameras.,その店はペットカメラを扱っている。,The shop _____ pet cameras.,deal(取引）してinしないと扱えない＝扱う,2025-12-24 02:26:37.705585+00
899,deal with A,deal with,A（問題）などに対処する/Aを処理する,It's a pleasure dealing with you.,あなたと取引できて嬉しい。,It's a pleasure _____ you.,deal＝取引＝うまく対処しないといけない＝うまく対処する,2025-12-24 02:26:37.705585+00
900,cope with A,cope with,A（問題など）にうまく対処する/Aをうまく処理する,He coped with an accident.,彼は事故に対処した。,He _____ an accident.,「with＝一緒に」⇒問題と一緒に向き合う,2025-12-24 02:26:37.705585+00
901,result from A,result from,A（原因）から生じる,His poor health condition resulted from a lack of sleep.,彼の健康状態が悪いのは睡眠不足が原因だった。,His poor health condition _____ a lack of sleep.,from=出発点,2025-12-24 02:26:37.705585+00
902,result in A,result in,A（結果）に終わる,My research resulted in failure.,私の研究は失敗に終わった。,My research _____ failure.,in =終着点,2025-12-24 02:26:37.705585+00
903,hear of A,hear of,Aのこと[存在]を耳にする/うわさを聞く,I hear of Valentino.,バレンティノのことを聞いた。,I _____ Valentino.,"〜のこと＝from,うわさ＝聞くもの（hear)",2025-12-24 02:26:37.705585+00
904,hear from A,hear from,A（人）から（電話や手紙で）便りがある/連絡がある,I haven't heard from him in a week.,彼から1週間連絡がない。,I haven't _____ him in a week.,fromは発着点→便りのもと,2025-12-24 02:26:37.705585+00
905,agree to A,agree to,A（提案や計画など）に同意する,I agree to his plan.,彼の計画に同意する。,I _____ his plan.,to  =提案、計画,2025-12-24 02:26:37.705585+00
906,agree with A,agree with,（環境・気候・食べ物が）A（人の体質・性格）に合う,The weather agrees with her when she is sick.,天気は彼女の病気に合っている。,The weather _____ her when she is sick.,with（一緒に過ごす）＝人の体質、性格,2025-12-24 02:26:37.705585+00
907,depend on [upon] A,depend on,A次第である/Aによって決まる,I'm depending on him to finish the job by Monday.,月曜日までに彼が仕事を終えるのを頼りにしている。,I'm depending on him to _____ the job by Monday.,「Aに依存する/頼る」＝rely on の意味もある,2025-12-24 02:26:37.705585+00
908,rely on [upon] A,rely on,Aに頼る/当てにする,Don't rely on others.,他人に頼るな。,Don't _____ others.,＝depend on [upon] A 　 rely on A to do という使い方もある,2025-12-24 02:26:37.705585+00
909,count on [upon] A,count on,Aに頼る/当てにする,I'm counting on you.,あなたを頼りにしている。,I'm _____ you.,"＝depend on [upon] A / rely on [upon] A 作文ではどれかに統一！ ",2025-12-24 02:26:37.705585+00
910,live on [upon] A,live on,A（少額のお金）で生活する,She lives on 1000 yen a day.,彼女は1日1000円で生活している。,She _____ 1000 yen a day.,「A(食物)を常食にする」という意味のほうが強い,2025-12-24 02:26:37.705585+00
911,get to A,get to,A（場所）に到着する,You have to get to the station in 3 minutes.,3分で駅に着かなければならない。,You have to _____ the station in 3 minutes.,＝arrive at A / reach A  口語に多い,2025-12-24 02:26:37.705585+00
912,arrive at A,arrive at,A（場所）に到着する,We finally arrived at Miyajima!,宮島にやっと到着した！,We finally _____ Miyajima!,＝get to A / reach A　in / on / at の区別をしっかり,2025-12-24 02:26:37.705585+00
913,specialize in A,specialize in,A（学問）を専攻する/A（研究・商売など）を専門にする,Professor Erin Meyer specializes in intercultural communication.,エリン・メイヤー教授は異文化コミュニケーションを専門としている。,Professor Erin Meyer _____ intercultural communication.,"＝major in A   specialize as もあるらしい ",2025-12-24 02:26:37.705585+00
914,major in A,major in,A（学問）を専攻する,I major in English.,私は英語を専攻している。,I _____ English.,major 主要な in 〜の中で→専攻する,2025-12-24 02:26:37.705585+00
915,do without A,do without,Aなしで済ます/やっていく,"I studied hard, doing without sleeping.",寝ずに一生懸命勉強した。,"I studied hard, _____ sleeping.",dispense with と同義。,2025-12-24 02:26:37.705585+00
916,dispense with A,dispense with,Aなしで済ます/やっていく,We can dispense with smartphones.,スマートフォンなしで済ませることができる。,We can _____ smartphones.,派生語indispensibleは〜なしではできないから転じて必要不可欠という意味。,2025-12-24 02:26:37.705585+00
917,stick to A,stick to,A(主義・決定など)を堅持する/Aに固執する,You should stick to your plan.,計画を守るべきだ。,You should _____ your plan.,＝cling to A  (stick-stuck-stuck),2025-12-24 02:26:37.705585+00
918,run across A,run across,A(人・物)に偶然出くわす,I ran across an old friend in the bookstore.,本屋で旧友に偶然会った。,I _____ an old friend in the bookstore.,＝meet [find] A by chance / come across A,2025-12-24 02:26:37.705585+00
919,run into A,run into,A(人)に偶然出会う,I ran into my teacher on the train.,電車で先生に偶然会った。,I _____ my teacher on the train.,＝meet A by chance / come [run] across A,2025-12-24 02:26:37.705585+00
920,come across A,come across,A(人・物)に偶然出くわす,I came across an interesting article online.,オンラインで面白い記事を見つけた。,I _____ an interesting article online.,＝meet [find] A by chance / run across A,2025-12-24 02:26:37.705585+00
921,occur to A,occur to,(考えなどが)A(人)の心に浮かぶ,It suddenly occurred to me that I forgot my keys.,鍵を忘れたことが突然思い出された。,It suddenly _____ to me that I forgot my keys.,It occurs to A that節 [to do] という形で出てくる。Itは形式主語,2025-12-24 02:26:37.705585+00
922,hit on [upon] A,hit on,A(考えなど)が思いつく,She hit on a great solution to the problem.,彼女は問題の素晴らしい解決策を思いついた。,She _____ a great solution to the problem.,＝come up with A 人を主語に取る,2025-12-24 02:26:37.705585+00
923,approve of A,approve of,Aに賛成する/Aを是認する,My parents don’t approve of smoking.,両親は喫煙を認めない。,My parents don’t _____ smoking.,⇔disapprove of A (Aに反対する),2025-12-24 02:26:37.705585+00
924,part with A,part with,(やむなく)Aを手放す/売り払う,I can’t part with this old photo.,この古い写真を手放せない。,I can’t _____ this old photo.,≒separate from / give up 感情的な惜しさを含む。,2025-12-24 02:26:37.705585+00
925,concentrate on A,concentrate on,Aに（注意・努力を）集中する/専念する,My house has too much noise for me to concentrate on homework.,家がうるさすぎて宿題に集中できない。,My house has too much noise for me to _____ homework.,全concentrate＝全集中　水の呼吸,2025-12-24 02:26:37.705585+00
926,amount to A,amount to,（総計が）A（数・量・額）に達する,The bill amounts to 100 yen.,請求額は100円になる。,The bill _____ 100 yen.,＝total A,2025-12-24 02:26:37.705585+00
927,refer to A,refer to,Aに言及する,The teacher referred to the recent study.,先生は最近の研究に言及した。,The teacher _____ the recent study.,mention A/speak about A と同義。,2025-12-24 02:26:37.705585+00
928,stare at A,stare at,（驚いて・怒って）Aをじっと見つめる/にらみつける,The cat stared angrily at the dog.,猫は犬を怒ってにらんだ。,The cat _____ angrily at the dog.,stareはじっと見ること。,2025-12-24 02:26:37.705585+00
929,insist on A,insist on,Aを要求する/A（事実）を主張する,My mother insisted on my doing my homework by myself.,母は私に宿題を自分でやるように主張した。,My mother _____ my doing my homework by myself.,"＝demand A,＝assert A",2025-12-24 02:26:37.705585+00
930,persist in A/doing,persist in,A［⋯すること］に固執する/⋯し続ける,This manager persists in bunting.,このマネージャーはバントを続ける。,This manager _____ bunting.,＝continue to do,2025-12-24 02:26:37.705585+00
931,fall on A,fall on,（休日・日程・行事などが）A（特定の日）にあたる,Christmas falls on a Thursday this year.,クリスマスは今年木曜日に当たる。,Christmas _____ a Thursday this year.,fall 落ちる on 〜の上に→降りかかる,2025-12-24 02:26:37.705585+00
932,die of A,die of,Aが原因で死ぬ,Hideyo Noguchi died of yellow fever.,野口英世は黄熱病で亡くなった。,Hideyo Noguchi _____ yellow fever.,ofは原因を示す。＝die from A,2025-12-24 02:26:37.705585+00
933,succeed in A/doing,succeed in,A［⋯すること］に成功する,Mr. Sasaki succeeded in pitching a perfect game.,佐々木さんは完全試合を達成した。,Mr. Sasaki _____ pitching a perfect game.,数学の問題集サクシードは成功するためにある！,2025-12-24 02:26:37.705585+00
934,suffer from,suffer from,A（病気など）にかかる/苦しむ,I suffered from urinary stones.,尿路結石に苦しんだ。,I _____ urinary stones.,サーファーは苦しむためにある！,2025-12-24 02:26:37.705585+00
935,refrain from A/doing,refrain from,A（衝動など）［⋯すること］を差し控える,The doctor advised him to refrain from eating anything.,医者は彼に何も食べないよう助言した。,The doctor advised him to _____ eating anything.,＝abstain from A,2025-12-24 02:26:37.705585+00
936,set about A/doing,set about,A［⋯すること］にとりかかる,I decided to set about studying Japanese.,日本語の勉強を始めることに決めた。,I decided to _____ studying Japanese.,＝begin A,2025-12-24 02:26:37.705585+00
937,run over A,run over,（車など）がAをひく/はねる,I was run over by a bike.,自転車にひかれた。,I was _____ by a bike.,走りすぎて… ＝run down A,2025-12-24 02:26:37.705585+00
938,get over A,get over,A（不幸・障害・困難など）を克服する/乗り越える,I got over my trauma.,トラウマを克服した。,I _____ my trauma.,over 上回る get 〜になる→上回り乗り越える ＝over come A,2025-12-24 02:26:37.705585+00
939,go over,go over,A（セリフ・説明など）を読み返す/（繰り返し）見直す,I need to go over my notes before the exam.,試験前にノートを見直す必要がある。,I need to _____ my notes before the exam.,目線がgo over,2025-12-24 02:26:37.705585+00
940,call on,call on,A（人）を訪れる,I was called on by a religious group yesterday.,昨日宗教団体に呼びかけられた。,I was _____ by a religious group yesterday.,ピンポン,2025-12-24 02:26:37.705585+00
941,keep off A,keep off,Aに近づかない/Aから離れておく,"I don't like dogs, so I keep off dogs.",犬が嫌いなので犬を避ける。,"I don't like dogs, so I _____ dogs.",offの状態をkeep,2025-12-24 02:26:37.705585+00
942,go though A,go through,A（苦しみ・困難など）を経験する,He went through a hard time for a while after losing his father.,父を失った後、しばらく辛い時期を過ごした。,He _____ a hard time for a while after losing his father.,通り過ぎる,2025-12-24 02:26:37.705585+00
943,hang up A,hang up,A（電話）を切る,I have hung up the phone.,電話を切った。,I have _____ the phone.,hang ぶら下がる up 上で止まる→止まってしまう,2025-12-24 02:26:37.705585+00
944,carry on A/doing,carry on,A［⋯すること］を続ける,She has carried on working since this morning.,彼女は今朝から働き続けている。,She has _____ working since this morning.,＝continue A,2025-12-24 02:26:37.705585+00
945,take after A,take after,A (親など) に (容姿・性質が) 似ている,Masaya takes after Takuto.,正也は拓人に似ている。,Masaya _____ Takuto.,A (人・物・事)に似ている / 類似点がある の意味の resemble と使い分けよう =resemble A,2025-12-24 02:26:37.705585+00
946,stand by A,stand by,"(困難な状況で) A (人) を支える / Aの力になる ",Masaya promised to stand by me when I was in trouble.,正也は困ったときに私を支えると約束した。,Masaya promised to _____ me when I was in trouble.,この satnd by A には A (約束など) を守る / A (信念など) を貫く という意味もある =support A,2025-12-24 02:26:37.705585+00
947,stand for A,stand for,"Aを表す / 象徴する ",This statue stands for freedom.,この像は自由を象徴している。,This statue _____ freedom.,A stand for の形で質問の文脈で使われることがある =represent A / symbolize A,2025-12-24 02:26:37.705585+00
948,look after A,look after,"A (人) の世話をする / A (物・事) の面倒を見る ",I will look after your dog when you die.,あなたが死んだら犬の世話をします。,I will _____ your dog when you die.,"take care of がより広範囲で責任を伴うケアや特定のアクション look after A は日常的な 世話・管理 に使われる =take care ofA ",2025-12-24 02:26:37.705585+00
949,look into A,look into,"Aを調査する / 研究する ",The police are looking into the accident.,警察は事故を調査している。,The police are _____ the accident.,ビジネスや日常会話で非常によく使われる表現 =investigateA,2025-12-24 02:26:37.705585+00
950,look for A,look for,"Aを探し求める ",He was looking for his key all day.,彼は一日中鍵を探していた。,He was _____ his key all day.,日常会話やビジネスで幅広く使われる 結果を表す find とは異なる -=search for A,2025-12-24 02:26:37.705585+00
951,break into A,break into,A (建物などに) 侵入する/押し入る,The building was broken into by robbers.,建物は強盗に侵入された。,The building was _____ by robbers.,文脈によって意味が異なる 一般的なのは「（物理的に）侵入する」や「（話題などに）割って入る」、あるいは「（新しい分野に）参入する」など,2025-12-24 02:26:37.705585+00
952,wait on A,wait on," (店員が) A (お客) に対応する ",The clerk waited on a customer who wanted to buy a jacket.,店員はジャケットを買いたい客に応対した。,The clerk _____ a customer who wanted to buy a jacket.,文脈によって意味が大きく異なる =serve A,2025-12-24 02:26:37.705585+00
953,come by A,come by,"Aを手に入れる ",How did you come by such a nice wig?,どうやってそんな素敵なかつらを手に入れたの？,How did you _____ such a nice wig?," 偶然,希少,苦労したなどのニュアンスを含む　=obtain A / get A",2025-12-24 02:26:37.705585+00
954,run for A,run for,A (役職など) に立候補する,Masaya had run for presidency but he failed.,正也は大統領選に出馬したが失敗した。,Masaya had _____ presidency but he failed.,他にもStand for 選挙で、選挙に立候補する、という文になる。,2025-12-24 02:26:37.705585+00
955,contribute to A,contribute to,Aに貢献する / 寄与する,Masaya contributed to world peace.,正也は世界平和に貢献した。,Masaya _____ world peace.,A(結果の一因になる）という文にも使われる。,2025-12-24 02:26:37.705585+00
956,pay for A,pay for,Aの代金を支払う,How much did you pay for these shoes?,この靴はいくら払ったの？,How much did you _____ these shoes?,日常会話でよく使い代金、費用を払うという意味になる。,2025-12-24 02:26:37.705585+00
957,apply for A,apply for,A (仕事・許可・援助など) を求める / 申し込む,Masaya applied for a world tour.,正也は世界ツアーに応募した。,Masaya _____ a world tour.,特定の目的を叶えて手に入れたいものに応募するという意味の場合に使い、具体的な応募先を示す apply to とは異なる,2025-12-24 02:26:37.705585+00
958,adapt to A,adapt to,A (環境など) に順応 [適応] する,Masaya adapted to hell.,正也は地獄に適応した。,Masaya _____ hell.,自分や何かを変えてなじむ、適応するという意味が多い,2025-12-24 02:26:37.705585+00
959,add to A,add to,"Aを増やす ",Masaya adds to my tax.,正也は私の税金を増やす。,Masaya _____ my tax.,派生してin adition to =increaseA,2025-12-24 02:26:37.705585+00
960,send for A,send for," (電話・手紙などで) Aを呼ぶ / Aに来てくれるように頼む",Masaya sent for Midori.,正也はみどりを呼び寄せた。,Masaya _____ Midori.,呼び寄せる、取り寄せるといったニュアンスが多い,2025-12-24 02:26:37.705585+00
961,ask for A,ask for,"A (助け・忠告・情報など) を求める ",Don’t ask for money.,お金を求めるな。,Don’t _____ money.,You asked for it　自業自得だ　　みたいな慣用句表現にも使う =requestA,2025-12-24 02:26:37.705585+00
962,call for A,call for," (公に) Aを要求する ","The economy has high inflation, so the workers called for a salary increase.",経済は高インフレなので、労働者は賃上げを要求した。,"The economy has high inflation, so the workers _____ a salary increase.",文脈によって意味が異なるから注意 =demand A,2025-12-24 02:26:37.705585+00
963,believe in A,believe in,"A (人柄・能力など) を信用 [信頼] する ",You must believe in your own abilities.,自分の能力を信じなければならない。,You must _____ your own abilities.,believeは情報とかの信憑性についてだから少し違う =trust A,2025-12-24 02:26:37.705585+00
964,answer for A,answer for,Aの責任を取る,You have to answer for what you did.,自分のしたことに責任を持たなければならない。,You have to _____ what you did.,つくる責任・つかう責任,2025-12-24 02:26:37.705585+00
965,tell on A,tell on,Aに（悪い）影響を与える,My age is beginning to tell on me.,年齢が私に影響し始めている。,My age is beginning to _____ me.,＝have a harmful effect on A,2025-12-24 02:26:37.705585+00
966,see to A,see to,Aを引き受ける/処理する,I saw to the big project.,大きなプロジェクトを引き受けた。,I _____ the big project.,deal withと同義。覚えろ。,2025-12-24 02:26:37.705585+00
967,take to A,take to,A（人・物）を好きになる,The students took to their new teacher very quickly.,生徒たちは新しい先生にすぐ慣れた。,The students _____ their new teacher very quickly.,take to doingは「習慣的に・・するようになる。」的な感じ。,2025-12-24 02:26:37.705585+00
968,make for A,make for,Aに向かっていく,They made for the exit.,彼らは出口へ向かった。,They _____ the exit.,head for Aと同義。makeって万能よね。,2025-12-24 02:26:37.705585+00
969,care about A,care about,Aを気にする/心配する,My mother cares about me every day.,母は毎日私のことを気にかけている。,My mother _____ me every day.,細かいことは気にすんな。,2025-12-24 02:26:37.705585+00
970,care for A,care for,Aの世話をする,How should I care for the dog?,犬の世話はどうすればいいですか。,How should I _____ the dog?,take care ofと同じ。,2025-12-24 02:26:37.705585+00
971,care for A,care for,（通例否定文で）Aを好む,Would you care for some dessert?,デザートはいかがですか。,Would you _____ some dessert?,通例否定文は普通の否定文のこと。,2025-12-24 02:26:37.705585+00
972,account forA,account for,Aの理由を説明する/Aの原因となる,The storm accounted for major delays.,嵐は大きな遅れの原因となった。,The storm _____ major delays.,explain Aと同じ,2025-12-24 02:26:37.705585+00
